"video_id","title","view_count","created_time","created_time_precision","upload_date","video_url","thumbnail_url","thumbnail_file","channel","collected_at_utc"
"_DlcriSXT7Q","BAJA CALIFORNIA: Where the Desert Meets the Sea","814463","2026-03-25T12:30:55.0000000Z","timestamp_utc","20260325","https://www.youtube.com/watch?v=_DlcriSXT7Q","https://i.ytimg.com/vi/_DlcriSXT7Q/maxresdefault.jpg","thumbnails/_DlcriSXT7Q.webp","Infinite Planet TV","2026-09-10T08:00:40.0000000Z"
"1MmFqN4Yl7o","RUSSIA: Behind the Iron Curtain","251511","2026-04-04T12:00:03.0000000Z","timestamp_utc","20260404","https://www.youtube.com/watch?v=1MmFqN4Yl7o","https://i.ytimg.com/vi/1MmFqN4Yl7o/maxresdefault.jpg","thumbnails/1MmFqN4Yl7o.webp","Infinite Planet TV","2026-09-10T08:00:36.0000000Z"
"6CZa2Vcv7WQ","WYOMING: On the Roof of a Supervolcano | 4K Travel Documentary","647776","2025-10-10T10:00:13.0000000Z","timestamp_utc","20251010","https://www.youtube.com/watch?v=6CZa2Vcv7WQ","https://i.ytimg.com/vi_webp/6CZa2Vcv7WQ/maxresdefault.webp","thumbnails/6CZa2Vcv7WQ.webp","Infinite Planet TV","2026-09-10T08:01:50.0000000Z"
"-6FRxYirzho","VENEZUELA: The True Lost World | 4K Documentary","140755","2026-01-26T11:00:01.0000000Z","timestamp_utc","20260126","https://www.youtube.com/watch?v=-6FRxYirzho","https://i.ytimg.com/vi/-6FRxYirzho/maxresdefault.jpg","thumbnails/-6FRxYirzho.webp","Infinite Planet TV","2026-09-10T08:00:58.0000000Z"
"8hojZWeNnLI","MAINE: Living in the State of the Rising Sun","37126","2026-07-25T10:00:13.0000000Z","timestamp_utc","20260725","https://www.youtube.com/watch?v=8hojZWeNnLI","https://i.ytimg.com/vi_webp/8hojZWeNnLI/maxresdefault.webp","thumbnails/8hojZWeNnLI.webp","Infinite Planet TV","2026-09-10T07:59:46.0000000Z"
"Aileq90JOqo","JAVA: The Kingdom of Fire","29188","2026-06-27T10:00:30.0000000Z","timestamp_utc","20260627","https://www.youtube.com/watch?v=Aileq90JOqo","https://i.ytimg.com/vi/Aileq90JOqo/maxresdefault.jpg","thumbnails/Aileq90JOqo.webp","Infinite Planet TV","2026-09-10T07:59:58.0000000Z"
"c21q2lJEegw","ALASKA: Russian America | Travel Documentary 4K","1305255","2025-11-01T11:01:11.0000000Z","timestamp_utc","20251101","https://www.youtube.com/watch?v=c21q2lJEegw","https://i.ytimg.com/vi_webp/c21q2lJEegw/maxresdefault.webp","thumbnails/c21q2lJEegw.webp","Infinite Planet TV","2026-09-10T08:01:34.0000000Z"
"EcTpeWomFEw","ISRAEL & PALESTINE: Wonders of the Holy Land | Travel Doumentary 4K","345894","2025-09-29T16:00:22.0000000Z","timestamp_utc","20250929","https://www.youtube.com/watch?v=EcTpeWomFEw","https://i.ytimg.com/vi/EcTpeWomFEw/maxresdefault.jpg","thumbnails/EcTpeWomFEw.webp","Infinite Planet TV","2026-09-10T08:02:04.0000000Z"
"fZgt0iyigcg","WALES: The Land of Dragons","191063","2026-06-05T12:46:45.0000000Z","timestamp_utc","20260605","https://www.youtube.com/watch?v=fZgt0iyigcg","https://i.ytimg.com/vi_webp/fZgt0iyigcg/maxresdefault.webp","thumbnails/fZgt0iyigcg.webp","Infinite Planet TV","2026-09-10T08:00:08.0000000Z"
"iebCgX_89Tk","CHINA 2050: A Country That Lives in the Future | 4K Documentary","928332","2025-12-26T11:01:31.0000000Z","timestamp_utc","20251226","https://www.youtube.com/watch?v=iebCgX_89Tk","https://i.ytimg.com/vi/iebCgX_89Tk/maxresdefault.jpg","thumbnails/iebCgX_89Tk.webp","Infinite Planet TV","2026-09-10T08:01:12.0000000Z"
